Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/explore/posts?start=2014-11-08T13:30:00.000Z&end=2014-11-16T13:29:59.999Z,4,4,0:00:00,3,0.00%,100.00%,$0.00
/explore/posts?start=2015-01-09T17:00:00.000Z&end=2015-02-10T16:59:59.999Z,4,4,0:01:02,1,0.00%,50.00%,$0.00
/explore/posts?start=2015-01-22T16:00:00.000Z&end=2015-02-23T15:59:59.999Z,4,2,0:11:16,1,0.00%,0.00%,$0.00
/explore/posts?start=2015-01-24T14:00:00.000Z&end=2015-02-25T13:59:59.999Z,4,4,0:13:00,3,66.67%,50.00%,$0.00
/explore/posts?start=2015-01-26T13:00:00.000Z&end=2015-02-24T12:59:59.999Z,4,3,0:15:23,1,0.00%,25.00%,$0.00
/explore/posts?start=2015-02-01T14:00:00.000Z&end=2015-03-02T13:59:59.999Z,4,4,0:09:27,3,66.67%,50.00%,$0.00
/explore/posts?start=2015-02-02T16:00:00.000Z&end=2015-03-03T15:59:59.999Z,4,2,0:45:56,2,50.00%,50.00%,$0.00
/explore/posts?start=2015-02-08T14:00:00.000Z&end=2015-03-09T13:59:59.999Z,4,4,0:00:00,3,33.33%,100.00%,$0.00
/explore/posts?start=2015-02-11T13:00:00.000Z&end=2015-02-19T12:59:59.999Z,4,4,0:01:20,3,100.00%,75.00%,$0.00
/explore/posts?start=2015-02-15T14:00:00.000Z&end=2015-03-16T13:59:59.999Z,4,3,0:10:53,3,33.33%,50.00%,$0.00
/explore/posts?start=2015-02-18T05:00:00.000Z&end=2015-02-26T04:59:59.999Z&place_id=54ee41c5c626977db1a1b6d4,4,1,0:03:56,0,0.00%,25.00%,$0.00
/explore/posts?start=2015-02-18T13:00:00.000Z&end=2015-03-19T12:59:59.999Z,4,4,0:09:20,2,100.00%,75.00%,$0.00
/explore/posts?start=2015-02-20T01:00:00.000Z&end=2015-02-21T04:59:59.999Z,4,1,0:00:41,0,0.00%,0.00%,$0.00
/explore/posts?start=2015-02-20T13:00:00.000Z&end=2015-02-28T12:59:59.999Z,4,4,0:00:00,4,75.00%,100.00%,$0.00
/explore/posts?start=2015-02-21T23:00:00.000Z&end=2015-02-23T10:59:59.999Z&place_id=54ea6a54c62697136ded73a6,4,2,0:10:24,1,0.00%,25.00%,$0.00
/explore/posts?start=2015-02-22T03:00:00.000Z&end=2015-02-23T04:59:59.999Z,4,2,0:01:10,0,0.00%,25.00%,$0.00
/explore/posts?start=2015-02-22T06:00:00.000Z&end=2015-02-23T12:59:59.999Z,4,1,0:04:40,0,0.00%,25.00%,$0.00
/explore/posts?start=2015-02-22T13:00:00.000Z&end=2015-03-02T12:59:59.999Z,4,4,0:10:15,4,50.00%,75.00%,$0.00
/explore/posts?start=2015-02-23T13:00:00.000Z&end=2015-03-03T12:59:59.999Z,4,3,0:10:37,2,100.00%,75.00%,$0.00
/explore/posts?start=2015-02-23T21:00:00.000Z&end=2015-02-25T12:59:59.999Z,4,2,0:03:22,1,0.00%,50.00%,$0.00
